Date start: local (see time zone entry) // Date de début : locale (voir l'entrée du fuseau horaire),Time start: local (see time zone entry) // Heure de début : locale (voir l'entrée du fuseau horaire),Date end: local (see time zone entry) // Date de fin : locale (voir l'entrée du fuseau horaire),Time end: local (see time zone entry) // Heure de fin : locale (voir l'entrée du fuseau horaire),Time zone: local // Fuseau horaire: local,Trip identification // Identifiant du déplacement,Latitude: decimal degrees // Latitude : degrés décimaux,Longitude: decimal degrees // Longitude : Degrés décimaux,VOC_ppbv/VOC_ppbv
02/09/2015,9:10:59,02/09/2015,11:11:00,EDT,Drive_01,43.81039,-79.47564,0.233485
02/09/2015,9:11:00,02/09/2015,11:11:01,EDT,Drive_01,43.81025,-79.47562,0.192331
02/09/2015,9:11:01,02/09/2015,11:11:02,EDT,Drive_01,43.81011,-79.47561,0.46764
02/09/2015,9:11:02,02/09/2015,11:11:03,EDT,Drive_01,43.80997,-79.47559,0.102334
02/09/2015,9:11:03,02/09/2015,11:11:04,EDT,Drive_01,43.80983,-79.47557,0.067257
02/09/2015,9:11:04,02/09/2015,11:11:05,EDT,Drive_01,43.8097,-79.47555,0.224481
02/09/2015,9:11:05,02/09/2015,11:11:06,EDT,Drive_01,43.80956,-79.47552,0.47899
02/09/2015,9:11:06,02/09/2015,11:11:07,EDT,Drive_01,43.80943,-79.4755,0.325153
02/09/2015,9:11:07,02/09/2015,11:11:08,EDT,Drive_01,43.80929,-79.47547,0.413219
02/09/2015,9:11:08,02/09/2015,11:11:09,EDT,Drive_01,43.80916,-79.47544,0.319931
02/09/2015,9:11:09,02/09/2015,11:11:10,EDT,Drive_01,43.80902,-79.47541,0.435082
02/09/2015,9:11:10,02/09/2015,11:11:11,EDT,Drive_01,43.80888,-79.47538,0.44791
02/09/2015,9:11:11,02/09/2015,11:11:12,EDT,Drive_01,43.80875,-79.47535,0.116075
02/09/2015,9:11:12,02/09/2015,11:11:13,EDT,Drive_01,43.80861,-79.47532,0.204971
02/09/2015,9:11:13,02/09/2015,11:11:14,EDT,Drive_01,43.80847,-79.47529,0.297163
02/09/2015,9:11:14,02/09/2015,11:11:15,EDT,Drive_01,43.80833,-79.47526,0.182205
02/09/2015,9:11:15,02/09/2015,11:11:16,EDT,Drive_01,43.80819,-79.47523,0.474865
02/09/2015,9:11:16,02/09/2015,11:11:17,EDT,Drive_01,43.80805,-79.4752,0.370387
02/09/2015,9:11:17,02/09/2015,11:11:18,EDT,Drive_01,43.80792,-79.47517,0.513355
02/09/2015,9:11:18,02/09/2015,11:11:19,EDT,Drive_01,43.80778,-79.47515,0.283449
02/09/2015,9:11:19,02/09/2015,11:11:20,EDT,Drive_01,43.80765,-79.47512,0.199028
02/09/2015,9:11:20,02/09/2015,11:11:21,EDT,Drive_01,43.80751,-79.47509,0.494841
02/09/2015,9:11:21,02/09/2015,11:11:22,EDT,Drive_01,43.80738,-79.47507,0.319183
02/09/2015,9:11:22,02/09/2015,11:11:23,EDT,Drive_01,43.80724,-79.47505,0.371569
02/09/2015,9:11:23,02/09/2015,11:11:24,EDT,Drive_01,43.80711,-79.47502,0.195131
02/09/2015,9:11:24,02/09/2015,11:11:25,EDT,Drive_01,43.80698,-79.475,0.346657
02/09/2015,9:11:25,02/09/2015,11:11:26,EDT,Drive_01,43.80685,-79.47497,0.382569
02/09/2015,9:11:26,02/09/2015,11:11:27,EDT,Drive_01,43.80672,-79.47495,0.215985
02/09/2015,9:11:27,02/09/2015,11:11:28,EDT,Drive_01,43.80659,-79.47492,0.368776
02/09/2015,9:11:28,02/09/2015,11:11:29,EDT,Drive_01,43.80646,-79.47489,0.239126
02/09/2015,9:11:29,02/09/2015,11:11:30,EDT,Drive_01,43.80635,-79.47487,0.272699
02/09/2015,9:11:30,02/09/2015,11:11:31,EDT,Drive_01,43.80623,-79.47485,0.177649
02/09/2015,9:11:31,02/09/2015,11:11:32,EDT,Drive_01,43.80613,-79.47483,0.391923
02/09/2015,9:11:32,02/09/2015,11:11:33,EDT,Drive_01,43.80604,-79.47481,0.219303
02/09/2015,9:11:33,02/09/2015,11:11:34,EDT,Drive_01,43.80596,-79.47479,0.046469
02/09/2015,9:11:34,02/09/2015,11:11:35,EDT,Drive_01,43.8059,-79.47478,0.277011
02/09/2015,9:11:35,02/09/2015,11:11:36,EDT,Drive_01,43.80586,-79.47477,0.184992
02/09/2015,9:11:36,02/09/2015,11:11:37,EDT,Drive_01,43.80582,-79.47477,0.421445
02/09/2015,9:11:37,02/09/2015,11:11:38,EDT,Drive_01,43.80581,-79.47477,0.252403
02/09/2015,9:11:38,02/09/2015,11:11:39,EDT,Drive_01,43.80581,-79.47477,0.414304
02/09/2015,9:11:39,02/09/2015,11:11:40,EDT,Drive_01,43.8058,-79.47477,0.44854
